cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Barra Velha,Beira Mar,apartamento,venda,14111.8,12878.1,14462.3,8,,setembro/2026
Barra Velha,Centro,apartamento,venda,9523.8,7416.7,11455.0,131,5.04,setembro/2026
Barra Velha,Centro,apartamento,aluguel,40.0,33.3,45.0,9,5.04,setembro/2026
Barra Velha,Itajubá,apartamento,venda,9194.1,6538.8,11496.4,199,5.12,setembro/2026
Barra Velha,Itajubá,apartamento,aluguel,39.2,33.3,43.2,70,5.12,setembro/2026
Barra Velha,Itajubá II,apartamento,venda,10806.2,8948.7,15111.9,15,,setembro/2026
Barra Velha,Itingá I,apartamento,venda,6689.1,6228.1,7257.4,5,,setembro/2026
Barra Velha,Jardim Icaraí,apartamento,venda,6063.3,5571.4,6818.2,13,,setembro/2026
Barra Velha,Los Angeles,apartamento,venda,6153.8,5515.7,7911.3,7,,setembro/2026
Barra Velha,Nova,apartamento,venda,5549.2,5176.2,6125.0,9,,setembro/2026
Barra Velha,Quinta dos Açorianos,apartamento,venda,6053.2,5755.2,7744.1,8,,setembro/2026
Barra Velha,São Cristóvão,apartamento,venda,6496.5,5401.8,7097.0,34,7.11,setembro/2026
Barra Velha,São Cristóvão,apartamento,aluguel,38.5,36.6,40.9,6,7.11,setembro/2026
Barra Velha,Tabuleiro,apartamento,venda,12275.0,10362.3,14973.7,244,,setembro/2026
Barra Velha,Vila Nova,apartamento,venda,5768.7,5623.1,6059.6,6,,setembro/2026
Barra Velha,Centro,casa,venda,5660.5,4250.0,7575.8,161,,setembro/2026
Barra Velha,Icaraí,casa,venda,4431.8,3866.7,6343.3,13,,setembro/2026
Barra Velha,Itajubá,casa,venda,5616.6,3799.7,7013.7,468,5.98,setembro/2026
Barra Velha,Itajubá,casa,aluguel,28.0,20.6,37.0,31,5.98,setembro/2026
Barra Velha,Jardim Icaraí,casa,venda,6352.1,4604.2,8652.5,30,,setembro/2026
Barra Velha,Jardim Los Angeles,casa,venda,5541.0,4058.9,6003.0,16,,setembro/2026
Barra Velha,Lagoa,casa,venda,5944.4,3605.6,6089.4,5,,setembro/2026
Barra Velha,Los Angeles,casa,venda,5473.8,4049.2,6357.3,16,,setembro/2026
Barra Velha,Nova,casa,venda,6486.5,5929.0,7232.6,31,,setembro/2026
Barra Velha,Quinta dos Açorianos,casa,venda,4700.0,2820.9,6205.9,179,9.19,setembro/2026
Barra Velha,Quinta dos Açorianos,casa,aluguel,36.0,20.3,44.3,8,9.19,setembro/2026
Barra Velha,São Cristóvão,casa,venda,5140.6,3750.0,6017.5,93,,setembro/2026
Barra Velha,Tabuleiro,casa,venda,6863.9,4802.5,8909.5,54,,setembro/2026
Barra Velha,Vila Nova,casa,venda,5198.1,3299.7,6411.3,116,,setembro/2026
Barra Velha,Vila Paraguai,casa,venda,4750.0,4504.5,5000.0,5,,setembro/2026
Barra Velha,Centro,terreno,venda,1206.8,867.5,1965.3,38,,setembro/2026
Barra Velha,Itajubá,terreno,venda,892.3,683.0,1221.3,115,,setembro/2026
Barra Velha,Medeiros,terreno,venda,369.1,289.4,566.3,13,,setembro/2026
Barra Velha,Nova,terreno,venda,1000.0,870.5,1071.4,9,,setembro/2026
Barra Velha,Quinta dos Açorianos,terreno,venda,714.6,583.1,1001.7,24,,setembro/2026
Barra Velha,São Cristóvão,terreno,venda,679.1,475.6,912.8,28,,setembro/2026
Barra Velha,Sertãozinho,terreno,venda,312.5,300.0,931.5,9,,setembro/2026
Barra Velha,Tabuleiro,terreno,venda,752.0,531.0,4610.0,10,,setembro/2026
Barra Velha,Vila Nova,terreno,venda,862.1,684.2,1033.3,21,,setembro/2026
Barra Velha,Centro,sala,aluguel,47.2,37.3,54.5,6,,setembro/2026
Barra Velha,Itajubá,sala,aluguel,56.8,47.4,60.0,17,,setembro/2026
Barra Velha,Itajubá,galpao,aluguel,22.6,17.8,24.8,13,,setembro/2026
