cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Navegantes,Centro,apartamento,venda,9697.1,7640.9,11947.0,350,4.95,setembro/2026
Navegantes,Centro,apartamento,aluguel,40.0,33.7,48.4,37,4.95,setembro/2026
Navegantes,Gravatá,apartamento,venda,9523.3,7594.7,12500.0,572,4.78,setembro/2026
Navegantes,Gravatá,apartamento,aluguel,37.9,33.8,42.5,58,4.78,setembro/2026
Navegantes,Machados,apartamento,venda,6818.2,6631.0,7597.6,7,7.06,setembro/2026
Navegantes,Machados,apartamento,aluguel,40.1,36.7,42.8,6,7.06,setembro/2026
Navegantes,Meia Praia,apartamento,venda,8035.7,6745.8,9846.3,147,5.39,setembro/2026
Navegantes,Meia Praia,apartamento,aluguel,36.1,31.2,39.5,13,5.39,setembro/2026
Navegantes,São Domingos,apartamento,venda,6666.2,5637.4,7289.0,8,,setembro/2026
Navegantes,São Paulo,apartamento,venda,7000.0,6442.6,7245.3,7,,setembro/2026
Navegantes,São Pedro,apartamento,venda,10386.4,8737.9,12668.9,23,,setembro/2026
Navegantes,Volta Grande,apartamento,venda,5082.0,4754.1,6783.9,9,7.86,setembro/2026
Navegantes,Volta Grande,apartamento,aluguel,33.3,30.4,38.8,6,7.86,setembro/2026
Navegantes,Centro,casa,venda,6756.8,5451.9,8611.9,115,5.51,setembro/2026
Navegantes,Centro,casa,aluguel,31.0,26.4,41.0,6,5.51,setembro/2026
Navegantes,Gravatá,casa,venda,6800.0,4742.9,8219.7,129,6.0,setembro/2026
Navegantes,Gravatá,casa,aluguel,34.0,25.9,40.7,13,6.0,setembro/2026
Navegantes,Machados,casa,venda,4300.0,2678.6,5142.9,17,,setembro/2026
Navegantes,Meia Praia,casa,venda,6838.4,5108.7,8231.7,76,5.51,setembro/2026
Navegantes,Meia Praia,casa,aluguel,31.4,25.0,36.0,5,5.51,setembro/2026
Navegantes,Nossa Senhora das Graças,casa,venda,3533.3,2700.0,5666.9,7,,setembro/2026
Navegantes,São Domingos,casa,venda,4500.0,2888.9,5753.8,22,,setembro/2026
Navegantes,Centro,terreno,venda,2237.2,2020.2,3691.6,21,,setembro/2026
Navegantes,Escalvados,terreno,venda,321.2,240.6,996.7,5,,setembro/2026
Navegantes,Gravatá,terreno,venda,1838.2,1600.1,2573.1,19,,setembro/2026
Navegantes,Meia Praia,terreno,venda,2185.3,1716.0,3057.1,14,,setembro/2026
Navegantes,São Domingos,terreno,venda,1692.9,829.5,1864.0,5,,setembro/2026
Navegantes,Volta Grande,terreno,venda,923.0,832.6,1314.7,7,,setembro/2026
Navegantes,Centro,sala,aluguel,56.8,39.2,69.9,20,,setembro/2026
Navegantes,Gravatá,sala,venda,7758.6,7605.1,9553.3,5,11.03,setembro/2026
Navegantes,Gravatá,sala,aluguel,71.3,65.0,75.0,8,11.03,setembro/2026
Navegantes,Centro,galpao,aluguel,32.1,29.1,42.3,6,,setembro/2026
Navegantes,Escalvados,galpao,aluguel,16.3,14.0,24.0,18,,setembro/2026
Navegantes,Machados,galpao,aluguel,10.6,7.2,14.0,10,,setembro/2026
Navegantes,Volta Grande,galpao,aluguel,34.5,24.7,35.7,26,,setembro/2026
